Status,6/22/2021,6/23/2021,6/24/2021,6/25/2021,6/26/2021,6/27/2021,6/28/2021,6/29/2021,6/30/2021,7/1/2021,7/2/2021,7/3/2021,7/4/2021,7/5/2021,7/6/2021,7/7/2021,7/8/2021,7/9/2021,7/10/2021,7/11/2021,7/12/2021,7/13/2021,7/14/2021,7/15/2021,7/16/2021,7/17/2021,,7/18/2021,7/19/2021,7/20/2021,7/21/2021,7/22/2021,7/23/2021,7/24/2021,7/25/2021
Positif,1,6,7,8,13,14,17,19,19,19,20,20,20,20,21,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Meninggal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sembuh,0,0,0,0,0,0,0,0,0,0,1,2,3,7,7,9,10,13,14,16,17,17,17,17,17,17,17,18,18,20,20,20,21,21
